x,y,motor1,motor2,V1,V2,A1,A2
0.41,0.41,0.09,0.1,0.0,1.84271999713e-08,1.65844799742e-08,0.0
0.42,0.41,0.08,0.1,0.0,1.0086948164e-07,8.06955853122e-08,0.0
0.43,0.41,0.07,0.1,0.0,4.52064859581e-07,3.16445401707e-07,0.0
0.44,0.41,0.06,0.1,0.0,1.65875007478e-06,9.95250044867e-07,0.0
0.45,0.41,0.05,0.1,0.0,4.98307778789e-06,2.49153889394e-06,0.0
0.46,0.41,0.04,0.1,0.0,1.22559479233e-05,4.90237916933e-06,0.0
0.47,0.41,0.03,0.1,0.0,2.46789151972e-05,7.40367455917e-06,0.0
0.48,0.41,0.02,0.1,0.0,4.0685395611e-05,8.13707912221e-06,0.0
0.49,0.41,0.01,0.1,0.0,5.49156312203e-05,5.49156312203e-06,0.0
0.5,0.41,-1.11022302463e-16,0.1,0.0,6.06894060058e-05,-6.73787758984e-20,0.0
0.51,0.41,-0.01,0.1,0.0,5.49156312203e-05,-5.49156312203e-06,0.0
0.52,0.41,-0.02,0.1,0.0,4.0685395611e-05,-8.13707912221e-06,0.0
0.53,0.41,-0.03,0.1,0.0,2.46789151972e-05,-7.40367455917e-06,0.0
0.54,0.41,-0.04,0.1,0.0,1.22559479233e-05,-4.90237916933e-06,0.0
0.55,0.41,-0.05,0.1,0.0,4.98307778789e-06,-2.49153889394e-06,0.0
0.56,0.41,-0.06,0.1,0.0,1.65875007478e-06,-9.95250044867e-07,0.0
0.57,0.41,-0.07,0.1,0.0,4.52064859581e-07,-3.16445401706e-07,0.0
0.58,0.41,-0.08,0.1,0.0,1.0086948164e-07,-8.06955853122e-08,0.0
0.59,0.41,-0.09,0.1,0.0,1.84271999713e-08,-1.65844799742e-08,0.0
0.6,0.41,-0.1,0.1,0.0,2.75613107181e-09,-2.75613107181e-09,0.0
0.61,0.41,-0.11,0.1,0.0,3.37505970932e-10,-3.71256568025e-10,0.0
0.62,0.41,-0.12,0.1,0.0,3.38379584466e-11,-4.06055501359e-11,0.0
0.63,0.41,-0.13,0.1,0.0,2.77758877295e-12,-3.61086540484e-12,0.0
0.64,0.41,-0.14,0.1,0.0,1.86669277669e-13,-2.61336988737e-13,0.0
0.65,0.41,-0.15,0.1,0.0,1.0271144743e-14,-1.54067171144e-14,0.0
0.35,0.42,0.15,0.1,0.0,5.62237059758e-14,8.43355589636e-14,0.0
0.36,0.42,0.14,0.1,0.0,1.02181780561e-12,1.43054492785e-12,0.0
0.37,0.42,0.13,0.1,0.0,1.52043748181e-11,1.97656872635e-11,0.0
0.38,0.42,0.12,0.1,0.0,1.8522720424e-10,2.22272645088e-10,0.0
0.39,0.42,0.11,0.1,0.0,1.84748991533e-09,2.03223890686e-09,0.0
0.4,0.42,0.1,0.1,0.0,1.50869155616e-08,1.50869155616e-08,0.0
0.41,0.42,0.09,0.1,0.0,1.0086948164e-07,9.07825334763e-08,0.0
0.42,0.42,0.08,0.1,0.0,5.52152990039e-07,4.41722392031e-07,0.0
0.43,0.42,0.07,0.1,0.0,2.47455423489e-06,1.73218796442e-06,0.0
0.44,0.42,0.06,0.1,0.0,9.07957374049e-06,5.44774424429e-06,0.0
0.45,0.42,0.05,0.1,0.0,2.72740654159e-05,1.36370327079e-05,0.0
0.46,0.42,0.04,0.1,0.0,6.70700260933e-05,2.68280104373e-05,0.0
0.47,0.42,0.03,0.1,0.0,0.000135016546127,4.0504963838e-05,0.0
0.48,0.42,0.02,0.1,0.0,0.000222507206572,4.45014413144e-05,0.0
0.49,0.42,0.01,0.1,0.0,0.000300236451347,3.00236451347e-05,0.0
0.5,0.42,-1.11022302463e-16,0.1,0.0,0.000331760216035,-3.68327830497e-19,0.0
0.51,0.42,-0.01,0.1,0.0,0.000300236451347,-3.00236451347e-05,0.0
0.52,0.42,-0.02,0.1,0.0,0.000222507206572,-4.45014413144e-05,0.0
0.53,0.42,-0.03,0.1,0.0,0.000135016546127,-4.0504963838e-05,0.0
0.54,0.42,-0.04,0.1,0.0,6.70700260933e-05,-2.68280104373e-05,0.0
0.55,0.42,-0.05,0.1,0.0,2.72740654159e-05,-1.36370327079e-05,0.0
0.56,0.42,-0.06,0.1,0.0,9.07957374049e-06,-5.44774424429e-06,0.0
0.57,0.42,-0.07,0.1,0.0,2.47455423489e-06,-1.73218796442e-06,0.0
0.58,0.42,-0.08,0.1,0.0,5.52152990039e-07,-4.41722392031e-07,0.0
0.59,0.42,-0.09,0.1,0.0,1.0086948164e-07,-9.07825334763e-08,0.0
0.6,0.42,-0.1,0.1,0.0,1.50869155616e-08,-1.50869155616e-08,0.0
0.61,0.42,-0.11,0.1,0.0,1.84748991533e-09,-2.03223890686e-09,0.0
0.62,0.42,-0.12,0.1,0.0,1.8522720424e-10,-2.22272645088e-10,0.0
0.63,0.42,-0.13,0.1,0.0,1.52043748181e-11,-1.97656872635e-11,0.0
0.64,0.42,-0.14,0.1,0.0,1.02181780561e-12,-1.43054492785e-12,0.0
0.65,0.42,-0.15,0.1,0.0,5.62237059758e-14,-8.43355589636e-14,0.0
0.35,0.43,0.15,0.1,0.0,2.51977168565e-13,3.77965752848e-13,0.0
0.36,0.43,0.14,0.1,0.0,4.57946969119e-12,6.41125756766e-12,0.0
0.37,0.43,0.13,0.1,0.0,6.81412804254e-11,8.8583664553e-11,0.0
0.38,0.43,0.12,0.1,0.0,8.30130734094e-10,9.96156880913e-10,0.0
0.39,0.43,0.11,0.1,0.0,8.27987509479e-09,9.10786260427e-09,0.0
0.4,0.43,0.1,0.1,0.0,6.76148468193e-08,6.76148468193e-08,0.0
0.41,0.43,0.09,0.1,0.0,4.52064859581e-07,4.06858373623e-07,0.0
0.42,0.43,0.08,0.1,0.0,2.47455423489e-06,1.97964338791e-06,0.0
0.43,0.43,0.07,0.1,0.0,1.10897049446e-05,7.76279346119e-06,0.0
0.44,0.43,0.06,0.1,0.0,4.0685395611e-05,2.44112373666e-05,0.0
0.45,0.43,0.05,0.1,0.0,0.000122175871887,6.10879359434e-05,0.0
0.46,0.43,0.04,0.1,0.0,0.000300236451347,0.000120094580539,0.0
0.47,0.43,0.03,0.1,0.0,0.000603683264942,0.000181104979483,0.0
0.48,0.43,0.02,0.1,0.0,0.000993360330011,0.000198672066002,0.0
0.49,0.43,0.01,0.1,0.0,0.00133857018486,0.000133857018486,0.0
0.5,0.43,-1.11022302463e-16,0.1,0.0,0.00147830826886,-1.64125187758e-18,0.0
0.51,0.43,-0.01,0.1,0.0,0.00133857018486,-0.000133857018486,0.0
0.52,0.43,-0.02,0.1,0.0,0.000993360330011,-0.000198672066002,0.0
0.53,0.43,-0.03,0.1,0.0,0.000603683264942,-0.000181104979483,0.0
