m1,m2,dm1,dm2,v1,v2,a1,a2
0.87,0.01,-0.0673219895828,0.266151573885,4.76056241142e-35,1.44996777146e-34,-9.19800727776e-35,3.04337088697e-35
0.88,0.01,-0.076897747089,0.268689702466,1.1214909808e-35,3.45074187112e-35,-2.32540820043e-35,7.55885394077e-36
0.89,0.01,-0.0859560520964,0.271618934295,2.19143338293e-36,6.74449925883e-36,-4.82156026771e-36,1.56663467626e-36
0.9,0.01,-0.0950014638701,0.274557627384,3.5069999839e-37,1.07934346405e-36,-8.15900336459e-37,2.65102146315e-37
0.91,0.01,-0.104046556901,0.277496548041,4.59502107688e-38,1.41420206759e-37,-1.12706045108e-37,3.6620414119e-38
0.92,0.01,-0.113091642071,0.280435474168,4.92924528147e-39,1.51706570523e-38,-1.27129248285e-38,4.13067967396e-39
0.93,0.01,-0.122136727047,0.283374400426,4.32926785071e-40,1.33241163921e-39,-1.17122997118e-39,3.80555686456e-40
0.94,0.01,-0.131181812019,0.286313326687,3.11307502254e-41,9.58105974688e-41,-8.81520642177e-41,2.86423419279e-41
0.95,0.01,-0.140226896991,0.289252252949,1.83276094267e-42,5.64065818083e-42,-5.42124609368e-42,1.76146963396e-42
0.96,0.01,-0.149271981963,0.29219117921,8.83411724879e-44,2.71886172221e-43,-2.7246732009e-43,8.85299988771e-44
0.97,0.01,-0.158317066935,0.295130105472,3.48627467011e-45,1.07296501583e-44,-1.1192884006e-44,3.63678847119e-45
0.98,0.01,-0.167362151907,0.298069031733,1.12642205594e-46,3.46677061749e-46,-3.75870400335e-46,1.221276963e-46
0.99,0.01,-0.176407236879,0.301007957995,2.97976348806e-48,9.17076903188e-48,-1.0319360248e-47,3.35296339709e-48
0.0,0.02,0.378867942426,0.127168652113,3.34412712005e-47,-2.42965057177e-47,3.41311320627e-47,4.69774730963e-47
0.01,0.02,0.375413027398,0.122413369531,1.54404881196e-45,-1.12181712721e-45,1.54745006243e-45,2.12988228877e-45
0.02,0.02,0.37195811237,0.11765808695,5.83687478625e-44,-4.24073776285e-44,5.7421808278e-44,7.90343387547e-44
0.03,0.02,0.368503197342,0.112902804368,1.80651192087e-42,-1.31250773786e-42,1.74391697981e-42,2.40029580181e-42
0.04,0.02,0.365048282314,0.108147521787,4.57764795675e-41,-3.32585591882e-41,4.33468550272e-41,5.96618275687e-41
0.05,0.02,0.361593367286,0.103392239205,9.49696970071e-40,-6.89995237474e-40,8.81791698244e-40,1.21368215108e-39
0.06,0.02,0.358138452258,0.0986369566237,1.61312795776e-38,-1.17200606443e-38,1.46806217603e-38,2.02061423722e-38
0.07,0.02,0.35468353723,0.0938816740423,2.24333270353e-37,-1.62987661358e-37,2.00025758165e-37,2.75311837166e-37
0.08,0.02,0.351228622201,0.0891263914609,2.5542279951e-36,-1.85575526466e-36,2.23040122894e-36,3.06988392691e-36
0.09,0.02,0.347773707161,0.0843711088834,2.38104025175e-35,-1.72992700357e-35,2.03529678948e-35,2.801345704e-35
0.1,0.02,0.34431879164,0.0796158264943,1.81725101401e-34,-1.32031013841e-34,1.51988857312e-34,2.09194715854e-34
0.11,0.02,0.340863856281,0.0748605529775,1.13554488098e-33,-8.25021453731e-34,9.2880813054e-34,1.27839486113e-33
